species,phase,day,concentration_mg_L,mc_lr_mg_g_dw
Crassostrea gigas,exposure,1,0.1,0.002
Crassostrea gigas,exposure,3,0.1,0.003
Crassostrea gigas,exposure,5,0.1,0.003
Crassostrea gigas,exposure,7,0.1,0.004
Crassostrea gigas,depuration,1,0.1,0.003
Crassostrea gigas,depuration,3,0.1,0.002
Crassostrea gigas,depuration,5,0.1,0.0015
Crassostrea gigas,depuration,7,0.1,0.001
Crassostrea gigas,exposure,1,1.0,0.004
Crassostrea gigas,exposure,3,1.0,0.008
Crassostrea gigas,exposure,5,1.0,0.01
Crassostrea gigas,exposure,7,1.0,0.012
Crassostrea gigas,depuration,1,1.0,0.01
Crassostrea gigas,depuration,3,1.0,0.006
Crassostrea gigas,depuration,5,1.0,0.004
Crassostrea gigas,depuration,7,1.0,0.003
Crassostrea gigas,exposure,1,10.0,0.007
Crassostrea gigas,exposure,3,10.0,0.015
Crassostrea gigas,exposure,5,10.0,0.017
Crassostrea gigas,exposure,7,10.0,0.022
Crassostrea gigas,depuration,1,10.0,0.017
Crassostrea gigas,depuration,3,10.0,0.012
Crassostrea gigas,depuration,5,10.0,0.008
Crassostrea gigas,depuration,7,10.0,0.006
Crassostrea gigas,exposure,1,20.0,0.012
Crassostrea gigas,exposure,3,20.0,0.022
Crassostrea gigas,exposure,5,20.0,0.026
Crassostrea gigas,exposure,7,20.0,0.03
Crassostrea gigas,depuration,1,20.0,0.018
Crassostrea gigas,depuration,3,20.0,0.012
Crassostrea gigas,depuration,5,20.0,0.008
Crassostrea gigas,depuration,7,20.0,0.005
Mytilus edulis,exposure,1,0.1,0.002
Mytilus edulis,exposure,3,0.1,0.004
Mytilus edulis,exposure,5,0.1,0.005
Mytilus edulis,exposure,7,0.1,0.006
Mytilus edulis,depuration,1,0.1,0.004
Mytilus edulis,depuration,3,0.1,0.003
Mytilus edulis,depuration,5,0.1,0.002
Mytilus edulis,depuration,7,0.1,0.0015
Mytilus edulis,exposure,1,1.0,0.005
Mytilus edulis,exposure,3,1.0,0.009
Mytilus edulis,exposure,5,1.0,0.012
Mytilus edulis,exposure,7,1.0,0.015
Mytilus edulis,depuration,1,1.0,0.01
Mytilus edulis,depuration,3,1.0,0.007
Mytilus edulis,depuration,5,1.0,0.005
Mytilus edulis,depuration,7,1.0,0.003
Mytilus edulis,exposure,1,10.0,0.01
Mytilus edulis,exposure,3,10.0,0.018
Mytilus edulis,exposure,5,10.0,0.021
Mytilus edulis,exposure,7,10.0,0.025
Mytilus edulis,depuration,1,10.0,0.012
Mytilus edulis,depuration,3,10.0,0.008
Mytilus edulis,depuration,5,10.0,0.006
Mytilus edulis,depuration,7,10.0,0.004
Mytilus edulis,exposure,1,20.0,0.015
Mytilus edulis,exposure,3,20.0,0.028
Mytilus edulis,exposure,5,20.0,0.03
Mytilus edulis,exposure,7,20.0,0.031
Mytilus edulis,depuration,1,20.0,0.012
Mytilus edulis,depuration,3,20.0,0.007
Mytilus edulis,depuration,5,20.0,0.004
Mytilus edulis,depuration,7,20.0,0.003
